P_MPa,quartz,feldspar,feldspar_1
400,754,721,719
375,753,723,723
350,753,730,728
325,752,736,732
300,751,741,735
275,751,747,739
250,752,753,743
225,756,761,747
200,761,770,752
175,767,780,757
150,774,792,764
125,783,806,773
100,796,823,784
75,814,845,800
50,841,875,823
