P_MPa,quartz,feldspar,feldspar_1,R2_qz_fsp_C,R3_qz_fsp_fsp1_C
400,754,743,727,11,27
375,753,749,730,4,23
350,753,755,734,2,21
325,756,763,737,7,26
300,758,770,740,12,30
275,761,778,744,17,34
250,764,786,747,22,39
225,767,794,751,27,43
200,771,803,756,32,47
175,776,813,761,37,52
150,783,824,768,41,56
125,792,837,776,45,61
100,804,854,788,50,66
75,822,875,804,53,71
50,849,902,828,53,74
