solid_phase_names,has_quartz,has_feldspar,has_feldspar_1,temperature_C,step_index,pressure_MPa,calc_time_s
,False,False,False,851.0,493,75.0,
,False,False,False,850.0,494,75.0,
,False,False,False,849.0,495,75.0,
,False,False,False,848.0,496,75.0,
,False,False,False,847.0,497,75.0,
,False,False,False,846.0,498,75.0,
Feldspar,False,True,False,845.0,499,75.0,
Feldspar,False,True,False,844.0,500,75.0,
Feldspar,False,True,False,843.0,501,75.0,
Feldspar,False,True,False,842.0,502,75.0,
Feldspar,False,True,False,841.0,503,75.0,
Feldspar,False,True,False,840.0,504,75.0,
Feldspar,False,True,False,839.0,505,75.0,
Feldspar,False,True,False,838.0,506,75.0,
Feldspar,False,True,False,837.0,507,75.0,
Feldspar,False,True,False,836.0,508,75.0,
Feldspar,False,True,False,835.0,509,75.0,
Feldspar,False,True,False,834.0,510,75.0,
Feldspar,False,True,False,833.0,511,75.0,
Feldspar,False,True,False,832.0,512,75.0,
Feldspar,False,True,False,831.0,513,75.0,
Feldspar,False,True,False,830.0,514,75.0,
Feldspar,False,True,False,829.0,515,75.0,
Feldspar,False,True,False,828.0,516,75.0,
Feldspar,False,True,False,827.0,517,75.0,
Feldspar,False,True,False,826.0,518,75.0,
Feldspar,False,True,False,825.0,519,75.0,
Feldspar,False,True,False,824.0,520,75.0,
Feldspar,False,True,False,823.0,521,75.0,
Feldspar,False,True,False,822.0,522,75.0,
Feldspar,False,True,False,821.0,523,75.0,
Feldspar,False,True,False,820.0,524,75.0,
Feldspar,False,True,False,819.0,525,75.0,
Feldspar,False,True,False,818.0,526,75.0,
Feldspar,False,True,False,817.0,527,75.0,
Feldspar,False,True,False,816.0,528,75.0,
Feldspar,False,True,False,815.0,529,75.0,
"Feldspar,Quartz",True,True,False,814.0,530,75.0,
"Feldspar,Quartz",True,True,False,813.0,531,75.0,
"Feldspar,Quartz",True,True,False,812.0,532,75.0,
"Feldspar,Quartz",True,True,False,811.0,533,75.0,
"Feldspar,Quartz",True,True,False,810.0,534,75.0,
"Feldspar,Quartz",True,True,False,809.0,535,75.0,
"Feldspar,Quartz",True,True,False,808.0,536,75.0,
"Feldspar,Quartz",True,True,False,807.0,537,75.0,
"Feldspar,Quartz",True,True,False,806.0,538,75.0,
"Feldspar,Quartz",True,True,False,805.0,539,75.0,
"Feldspar,Quartz",True,True,False,804.0,540,75.0,
"Feldspar,Quartz",True,True,False,803.0,541,75.0,
"Feldspar,Quartz",True,True,False,802.0,542,75.0,
"Feldspar,Quartz",True,True,False,801.0,543,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,800.0,544,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,799.0,545,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,798.0,546,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,797.0,547,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,796.0,548,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,795.0,549,75.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,794.0,550,75.0,
