profile,pressure_mpa,step_index,temperature_c,calc_time_s,solid_phases
profile_a_unpatched,300.0,22,735.0,1.1870508193969727,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
profile_a_unpatched,200.0,0,785,0.03648686408996582,Water
profile_a_unpatched,200.0,1,784.0,0.038008689880371094,Water
profile_a_unpatched,200.0,2,783.0,0.04024386405944824,Water
profile_a_unpatched,200.0,3,782.0,0.09586930274963379,"Feldspar,Water"
profile_a_unpatched,200.0,4,781.0,0.0787971019744873,"Feldspar,Water"
profile_a_unpatched,200.0,5,780.0,0.07739496231079102,"Feldspar,Water"
profile_a_unpatched,200.0,6,779.0,0.07191967964172363,"Feldspar,Water"
profile_a_unpatched,200.0,7,778.0,0.07286810874938965,"Feldspar,Water"
profile_a_unpatched,200.0,8,777.0,0.07783007621765137,"Feldspar,Water"
profile_a_unpatched,200.0,9,776.0,0.07621598243713379,"Feldspar,Water"
profile_a_unpatched,200.0,10,775.0,0.0773777961730957,"Feldspar,Water"
profile_a_unpatched,200.0,11,774.0,0.07857394218444824,"Feldspar,Water"
profile_a_unpatched,200.0,12,773.0,0.09540295600891113,"Feldspar,Water"
profile_a_unpatched,200.0,13,772.0,0.07301211357116699,"Feldspar,Water"
profile_a_unpatched,200.0,14,771.0,0.07967805862426758,"Feldspar,Water"
profile_a_unpatched,200.0,15,770.0,0.07525110244750977,"Feldspar,Water"
profile_a_unpatched,200.0,16,769.0,0.07721900939941406,"Feldspar,Water"
profile_a_unpatched,200.0,17,768.0,0.07652521133422852,"Feldspar,Water"
profile_a_unpatched,200.0,18,767.0,0.11619806289672852,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,19,766.0,0.12502002716064453,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,20,765.0,0.14215397834777832,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,21,764.0,0.12197089195251465,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,22,763.0,0.11257600784301758,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,23,762.0,0.12600111961364746,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,24,761.0,0.12540483474731445,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,25,760.0,0.125565767288208,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,26,759.0,0.1200871467590332,"Feldspar,Quartz,Water"
profile_a_unpatched,200.0,27,758.0,0.1761319637298584,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,200.0,28,757.0,0.1842639446258545,"Feldspar,Feldspar_1,Quartz,Water"
profile_a_unpatched,200.0,29,756.0,0.31288790702819824,"Feldspar,Feldspar_1,Quartz,Spinel,Water"
profile_a_unpatched,200.0,30,755.0,0.31072497367858887,"Feldspar,Feldspar_1,Quartz,Spinel,Water"
profile_a_unpatched,200.0,31,754.0,0.5321228504180908,"Feldspar,Feldspar_1,Orthopyroxene,Quartz,Spinel,Water"
profile_a_unpatched,200.0,32,753.0,0.8758740425109863,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
profile_a_unpatched,200.0,33,752.0,1.006098985671997,"Feldspar,Feldspar_1,Ilmenite ss,Orthopyroxene,Quartz,Spinel,Water"
