pressure_mpa,mode,exec_mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,True,success,0.0696861743927002,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,success,0.12600183486938477,,
100.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,probe,888.0,True,success,0.07297301292419434,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.04591107368469238,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.8325870037078857,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,False,success,0.5855591297149658,,
50.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,exception,0.21558499336242676,ValueError,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 22 is different from 25)"
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.03875994682312012,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.044844627380371094,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,False,success,0.08247804641723633,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.06818413734436035,,
75.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,False,success,0.03751802444458008,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.032670021057128906,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.04081606864929199,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,False,success,0.10706114768981934,,
100.0,fresh_state_probe_only|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,exception,0.11222124099731445,ValueError,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 16 is different from 19)"
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04140281677246094,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.8147408962249756,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,False,success,0.561837911605835,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,none,0.2384190559387207,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,2,main,912.0,True,none,0.0020380020141601562,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,3,main,937.0,True,none,0.001695871353149414,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,4,main,962.0,True,none,0.0015659332275390625,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,5,main,987.0,True,none,0.001714944839477539,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.040329933166503906,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.04254412651062012,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,False,success,0.09037399291992188,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.06504702568054199,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,False,success,0.03603672981262207,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.030640125274658203,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.04407000541687012,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,False,success,0.07825016975402832,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,none,0.11150407791137695,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,2,main,912.0,True,none,0.0024628639221191406,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,3,main,937.0,True,none,0.005460977554321289,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,4,main,962.0,True,none,0.0020492076873779297,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_current,thread_timeout_wrapper,5,main,987.0,True,none,0.0019388198852539062,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04285120964050293,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.7620260715484619,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,False,success,0.5953109264373779,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,none,0.2232520580291748,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,2,main,912.0,False,success,0.04561614990234375,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,3,main,868.0,True,success,0.04414677619934082,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,3,probe,869.0,False,success,0.08095312118530273,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,4,main,890.0,True,success,0.042923927307128906,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,4,probe,891.0,False,success,0.08224010467529297,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,5,main,901.0,True,success,0.03798484802246094,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,5,probe,902.0,False,success,0.08742308616638184,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,6,main,906.0,True,success,0.06032609939575195,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,7,main,904.0,True,success,0.031529903411865234,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,8,main,902.0,True,success,0.04430413246154785,,
50.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,8,probe,903.0,False,success,0.040891170501708984,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.03875088691711426,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.048525094985961914,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,False,success,0.08628416061401367,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,success,0.07646393775939941,,
75.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,probe,888.0,False,success,0.05807089805603027,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.03226423263549805,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.040972232818603516,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,False,success,0.08030080795288086,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,1,main,887.0,True,none,0.10992932319641113,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,2,main,912.0,False,success,0.04320406913757324,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,3,main,868.0,True,success,0.03301882743835449,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,4,main,846.0,True,success,0.0424799919128418,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,4,probe,847.0,False,success,0.08572506904602051,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,5,main,857.0,True,success,0.07214522361755371,,
100.0,fresh_state_probe_only|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,5,probe,858.0,False,success,0.041692256927490234,,
