SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,dry_total_original,dry_total_normalized,H2O
KCP109C,76.8015234699459,0.08306152630619315,13.117643483721965,0.668543992220579,0.03140130872551204,0.09116508984826077,0.709061809930917,4.42657158485444,4.0619112254613965,0.009116508984826075,98.72200000000001,100.0,13.0
KCP109B,77.28823166226378,0.06983876355023835,12.803773317543698,0.526321116610492,0.024291743843561166,0.05060779967408577,0.5465642364801263,4.01825929412241,4.666039129950708,0.006072935960890292,98.799,99.99999999999999,13.0
KCP109A,77.50432434072769,0.07991179356457176,12.624040299820956,0.6271558482282846,0.026300083957960324,0.0606925014414469,0.5361170960661144,4.025935928949311,4.511475940480886,0.004046166762763127,98.85900000000001,100.00000000000001,13.0
KHD-106-A,76.23607032224322,0.13175363076799293,12.974212495474111,1.1063281972884902,0.035201351731906506,0.160920465060144,1.0660980810234542,3.2284668302691393,5.008649474996983,0.0522991511445468,99.428,99.99999999999999,13.0
KHD-105-G,76.75345858756724,0.058398276243983985,13.139612154896398,0.4530900743067723,0.005034334158964137,0.05034334158964137,0.9665921585211142,3.101149841921908,5.467286896635052,0.005034334158964137,99.31799999999998,100.00000000000001,13.0
KHD-105-D,76.6139591096787,0.09265787088327121,13.163460570047334,0.6445764931010172,0.008057206163762714,0.08057206163762715,1.0474368012891528,3.454527142713264,4.884681236781145,0.010071507704703393,99.29,99.99999999999999,13.0
KHD-105-E,76.70748490662703,0.09141410589972576,13.008930454960975,0.5926848624267934,0.008036404914261606,0.07031854299978905,0.9040955528544307,3.2446984841331235,5.364300280269622,0.008036404914261606,99.547,100.00000000000001,13.0
KKC-103-A,76.85886411409145,0.07945368051574489,12.93385229661366,0.5028713956692714,0.006034456748031257,0.06034456748031257,1.0158002192519282,2.8563095274014616,5.652274487322611,0.03419525490551046,99.42900000000002,99.99999999999999,13.0
KHD-105-B,76.63679250027661,0.07644567830451533,13.056117163060645,0.5934598710482111,0.007041049317521149,0.07041049317521149,1.005864188217307,2.967299355241056,5.57248760272388,0.014082098635042298,99.417,100.0,13.0
KHD-105-F,72.31221792392004,0.2508462282398452,14.728401031592517,2.045051579626047,0.04231141199226305,0.37274339136041257,2.1860896196002573,3.818101225016118,4.1606221792391995,0.08361540941328174,99.26400000000001,99.99999999999999,13.0
KHD-107-C,74.73205847459332,0.17393577446663047,13.522752407954798,1.3975186503388228,0.02010818201926364,0.2513522752407955,1.4678972874062457,3.126822303995496,5.24823550702781,0.05931913695682774,99.46199999999999,100.0,13.0
KCP-114-A,76.49086833720312,0.1336831207470173,12.996411663601005,0.8342630843610854,0.022112997416799854,0.1909758867814533,1.1458553206887196,3.4878227743770682,4.653780819990151,0.04422599483359971,99.48899999999998,100.00000000000003,13.0
KHD-107-A,75.89397978172309,0.09153548257305236,13.207262485540411,0.804707539103757,0.01609415078207514,0.09052959814917266,0.9656490469245084,2.9573002062063067,5.9447769451290045,0.028164763868631496,99.41499999999999,100.00000000000003,13.0
KHD-107-D,75.87004626835646,0.14182257091128542,13.136189901428281,0.7946087306376985,0.014081673707503517,0.22128344397505528,1.1768255884127938,2.755984711325689,5.853952926976462,0.0352041842687588,99.42000000000002,100.00000000000001,13.0
KHD-105-B-2,76.54251468103934,0.09552731075536965,12.89115919877725,0.8547180436006757,0.010055506395302068,0.1206660767436248,0.9452176011583943,2.825597297079881,5.701472126136272,0.013072158313892687,99.44800000000001,99.99999999999999,13.0
