pressure_mpa,mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,reuse_state,-1,initial_mid,950.0,False,success,0.04092907905578613,,
50.0,reuse_state,0,main,824.0,True,success,0.7910468578338623,,
50.0,reuse_state,0,probe,825.0,True,success,0.17886996269226074,,
50.0,reuse_state,1,main,887.0,True,success,0.322066068649292,,
50.0,reuse_state,1,probe,888.0,True,none,0.03468585014343262,,
75.0,reuse_state,-1,initial_mid,950.0,False,success,0.04022979736328125,,
75.0,reuse_state,0,main,824.0,True,success,0.04346013069152832,,
75.0,reuse_state,0,probe,825.0,True,success,0.028566837310791016,,
75.0,reuse_state,1,main,887.0,True,success,0.06303834915161133,,
75.0,reuse_state,1,probe,888.0,True,success,0.05016922950744629,,
100.0,reuse_state,-1,initial_mid,950.0,False,success,0.03290700912475586,,
100.0,reuse_state,0,main,824.0,True,success,0.04335212707519531,,
100.0,reuse_state,0,probe,825.0,True,success,0.04481816291809082,,
100.0,reuse_state,1,main,887.0,True,success,0.0924530029296875,,
100.0,reuse_state,1,probe,888.0,True,success,0.057530879974365234,,
50.0,fresh_state_each_iteration,-1,initial_mid,950.0,False,success,0.05954098701477051,,
50.0,fresh_state_each_iteration,0,main,824.0,False,success,0.7831361293792725,,
50.0,fresh_state_each_iteration,0,probe,825.0,False,success,0.5984368324279785,,
50.0,fresh_state_each_iteration,1,main,887.0,False,success,0.08693289756774902,,
50.0,fresh_state_each_iteration,1,probe,888.0,False,success,0.08137702941894531,,
50.0,fresh_state_each_iteration,2,main,918.0,False,success,0.03987717628479004,,
50.0,fresh_state_each_iteration,3,main,902.0,False,success,0.08439803123474121,,
50.0,fresh_state_each_iteration,3,probe,903.0,False,success,0.040472984313964844,,
75.0,fresh_state_each_iteration,-1,initial_mid,950.0,False,success,0.04338717460632324,,
75.0,fresh_state_each_iteration,0,main,824.0,False,success,0.10402894020080566,,
75.0,fresh_state_each_iteration,0,probe,825.0,False,success,0.08303189277648926,,
75.0,fresh_state_each_iteration,1,main,887.0,False,success,0.04387402534484863,,
75.0,fresh_state_each_iteration,2,main,856.0,False,success,0.08438873291015625,,
75.0,fresh_state_each_iteration,2,probe,857.0,False,success,0.0800480842590332,,
75.0,fresh_state_each_iteration,3,main,872.0,False,success,0.08683109283447266,,
75.0,fresh_state_each_iteration,3,probe,873.0,False,success,0.08873987197875977,,
75.0,fresh_state_each_iteration,4,main,880.0,False,success,0.042189836502075195,,
75.0,fresh_state_each_iteration,5,main,876.0,False,success,0.04441976547241211,,
75.0,fresh_state_each_iteration,6,main,874.0,False,success,0.07497596740722656,,
75.0,fresh_state_each_iteration,6,probe,875.0,False,success,0.09364795684814453,,
100.0,fresh_state_each_iteration,-1,initial_mid,950.0,False,success,0.03327202796936035,,
100.0,fresh_state_each_iteration,0,main,824.0,False,success,0.08509683609008789,,
100.0,fresh_state_each_iteration,0,probe,825.0,False,success,0.10558485984802246,,
100.0,fresh_state_each_iteration,1,main,887.0,False,success,0.041245222091674805,,
100.0,fresh_state_each_iteration,2,main,856.0,False,success,0.04287290573120117,,
100.0,fresh_state_each_iteration,3,main,840.0,False,success,0.08663296699523926,,
100.0,fresh_state_each_iteration,3,probe,841.0,False,success,0.07805395126342773,,
100.0,fresh_state_each_iteration,4,main,848.0,False,success,0.0805821418762207,,
100.0,fresh_state_each_iteration,4,probe,849.0,False,success,0.0834498405456543,,
100.0,fresh_state_each_iteration,5,main,852.0,False,success,0.0899958610534668,,
100.0,fresh_state_each_iteration,5,probe,853.0,False,success,0.08869290351867676,,
100.0,fresh_state_each_iteration,6,main,854.0,False,success,0.09408688545227051,,
100.0,fresh_state_each_iteration,6,probe,855.0,False,success,0.04081606864929199,,
50.0,fresh_state_after_exception,-1,initial_mid,950.0,False,success,0.04726815223693848,,
50.0,fresh_state_after_exception,0,main,824.0,True,success,0.7861061096191406,,
50.0,fresh_state_after_exception,0,probe,825.0,True,success,0.20871615409851074,,
50.0,fresh_state_after_exception,1,main,887.0,True,success,0.30042505264282227,,
50.0,fresh_state_after_exception,1,probe,888.0,True,none,0.03595685958862305,,
75.0,fresh_state_after_exception,-1,initial_mid,950.0,False,success,0.04078102111816406,,
75.0,fresh_state_after_exception,0,main,824.0,True,success,0.04387807846069336,,
75.0,fresh_state_after_exception,0,probe,825.0,True,success,0.030061960220336914,,
75.0,fresh_state_after_exception,1,main,887.0,True,success,0.06524276733398438,,
75.0,fresh_state_after_exception,1,probe,888.0,True,success,0.051276206970214844,,
100.0,fresh_state_after_exception,-1,initial_mid,950.0,False,success,0.03260016441345215,,
100.0,fresh_state_after_exception,0,main,824.0,True,success,0.03971385955810547,,
100.0,fresh_state_after_exception,0,probe,825.0,True,success,0.04052090644836426,,
100.0,fresh_state_after_exception,1,main,887.0,True,success,0.0860600471496582,,
100.0,fresh_state_after_exception,1,probe,888.0,True,success,0.056321144104003906,,
50.0,fresh_state_probe_only,-1,initial_mid,950.0,False,success,0.04177403450012207,,
50.0,fresh_state_probe_only,0,main,824.0,True,success,0.8440399169921875,,
50.0,fresh_state_probe_only,0,probe,825.0,False,success,0.6388638019561768,,
50.0,fresh_state_probe_only,1,main,887.0,True,none,0.26309895515441895,,
50.0,fresh_state_probe_only,2,main,912.0,True,none,0.0030028820037841797,,
50.0,fresh_state_probe_only,3,main,937.0,True,none,0.00638890266418457,,
50.0,fresh_state_probe_only,4,main,962.0,True,none,0.004441976547241211,,
