temperature_C,liam_row_present,patched_row_present,liam_solid_phase_names,patched_solid_phase_names,liam_has_quartz,patched_has_quartz,liam_has_feldspar,patched_has_feldspar,liam_has_feldspar_1,patched_has_feldspar_1,same_phase_set
807.0,True,False,,,False,,False,,False,,False
806.0,True,False,Feldspar,,False,,True,,False,,False
805.0,True,False,Feldspar,,False,,True,,False,,False
804.0,True,False,Feldspar,,False,,True,,False,,False
803.0,True,False,Feldspar,,False,,True,,False,,False
802.0,True,False,Feldspar,,False,,True,,False,,False
801.0,True,False,Feldspar,,False,,True,,False,,False
800.0,True,False,Feldspar,,False,,True,,False,,False
799.0,True,False,Feldspar,,False,,True,,False,,False
798.0,True,False,Feldspar,,False,,True,,False,,False
797.0,True,False,Feldspar,,False,,True,,False,,False
796.0,True,False,Feldspar,,False,,True,,False,,False
795.0,True,False,Feldspar,,False,,True,,False,,False
794.0,True,False,Feldspar,,False,,True,,False,,False
793.0,True,False,Feldspar,,False,,True,,False,,False
792.0,True,False,Feldspar,,False,,True,,False,,False
791.0,True,False,Feldspar,,False,,True,,False,,False
790.0,True,False,Feldspar,,False,,True,,False,,False
789.0,True,False,Feldspar,,False,,True,,False,,False
788.0,True,False,Feldspar,,False,,True,,False,,False
787.0,True,False,Feldspar,,False,,True,,False,,False
786.0,True,False,Feldspar,,False,,True,,False,,False
785.0,True,False,Feldspar,,False,,True,,False,,False
784.0,True,False,Feldspar,,False,,True,,False,,False
783.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
782.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
781.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
780.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
779.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
778.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
777.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
776.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
775.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
774.0,True,False,"Feldspar,Quartz",,True,,True,,False,,False
773.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
772.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
771.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
770.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
769.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
768.0,True,False,"Feldspar,Feldspar_1,Quartz",,True,,True,,True,,False
