pressure_mpa,mode,exec_mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.042086124420166016,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.8192682266235352,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.1892549991607666,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.30222201347351074,,
50.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,exception,0.03415989875793457,ValueError,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 22 is different from 25)"
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.040486812591552734,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.04634690284729004,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.031952857971191406,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.08230018615722656,,
75.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,success,0.05988597869873047,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,-1,initial_mid,950.0,False,success,0.0315093994140625,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,main,824.0,True,success,0.04219388961791992,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,0,probe,825.0,True,success,0.03957080841064453,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,main,887.0,True,success,0.08577895164489746,,
100.0,reuse_state|raw_execute_no_timeout_wrapper,raw_execute,1,probe,888.0,True,success,0.05484414100646973,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04072213172912598,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,1.133760929107666,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.2527351379394531,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.4007091522216797,,
50.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,none,0.04214119911193848,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04026508331298828,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.05507922172546387,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.03089308738708496,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.06502485275268555,,
75.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,success,0.04882001876831055,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.031852006912231445,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,main,824.0,True,success,0.03954935073852539,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,0,probe,825.0,True,success,0.04052996635437012,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,main,887.0,True,success,0.08513593673706055,,
100.0,reuse_state|thread_timeout_wrapper_current,thread_timeout_wrapper,1,probe,888.0,True,success,0.055436134338378906,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.07011723518371582,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,main,824.0,True,success,0.7795698642730713,,
50.0,reuse_state|thread_timeout_wrapper_with_equil_reset_after_none,thread_timeout_wrapper,0,probe,825.0,True,success,0.20928096771240234,,
