pressure_mpa,mode,exec_mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.04013180732727051,,
50.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.7770528793334961,,
50.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.16406798362731934,,
50.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.3155851364135742,,
50.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,none,0.034368038177490234,,
75.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.03929901123046875,,
75.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.04512786865234375,,
75.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.029577016830444336,,
75.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.06518292427062988,,
75.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,success,0.04894590377807617,,
100.0,reuse_state,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.031050920486450195,,
100.0,reuse_state,thread_timeout_wrapper,0,main,824.0,True,success,0.03856325149536133,,
100.0,reuse_state,thread_timeout_wrapper,0,probe,825.0,True,success,0.03996992111206055,,
100.0,reuse_state,thread_timeout_wrapper,1,main,887.0,True,success,0.08351612091064453,,
100.0,reuse_state,thread_timeout_wrapper,1,probe,888.0,True,success,0.05312085151672363,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,-1,initial_mid,950.0,False,success,0.05733990669250488,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,0,main,824.0,False,success,0.7613329887390137,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,0,probe,825.0,False,success,0.5802910327911377,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,1,main,887.0,False,success,0.08551597595214844,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,1,probe,888.0,False,success,0.0829622745513916,,
50.0,fresh_state_each_iteration,thread_timeout_wrapper,2,main,918.0,False,success,0.04003190994262695,,
