,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
KCP109C,0.0111,0.1474,0.05,0.0028,0.0223,0.0388,0.0988,0.0525,0.0053
KCP109B,0.0106,0.1469,0.0432,0.0026,0.0186,0.0352,0.0965,0.0558,0.0049
KCP109A,0.011,0.1466,0.0482,0.0027,0.0187,0.035,0.0965,0.055,0.0045
KHD-106-A,0.0127,0.1474,0.0671,0.0029,0.0276,0.0455,0.0915,0.0577,0.0075
KHD-105-G,0.0101,0.1476,0.0399,0.0016,0.0179,0.0437,0.0905,0.06,0.0048
KHD-105-D,0.0115,0.1477,0.0489,0.0019,0.0214,0.0451,0.093,0.057,0.0054
KHD-105-E,0.0114,0.1475,0.0467,0.0019,0.0207,0.0426,0.0916,0.0596,0.0052
KKC-103-A,0.011,0.1473,0.0424,0.0017,0.0192,0.0447,0.0887,0.061,0.0069
KHD-105-B,0.0109,0.1475,0.0464,0.0018,0.0208,0.0444,0.0896,0.0606,0.0057
KHD-105-F,0.0152,0.1505,0.0967,0.0031,0.0382,0.0614,0.0953,0.0532,0.0083
KHD-107-C,0.0137,0.1484,0.0771,0.0025,0.033,0.0519,0.0908,0.059,0.0077
KCP-114-A,0.0127,0.1474,0.0568,0.0025,0.0294,0.0468,0.0933,0.0559,0.0072
KHD-107-A,0.081,0.187,0.2886,0.0123,0.4235,0.2064,0.1223,0.0304,0.0512
KHD-107-D,0.0401,0.1769,0.1702,0.0101,0.1097,0.1093,0.1459,0.0353,0.032
KHD-105-B-2,0.01,0.1487,0.0451,0.0065,0.019,0.0325,0.1378,0.0433,0.0038
