,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.13232376,0.06592037,13.23835425,0.477676732,0.00152333,0.030883465,0.94760921,3.113566132,5.400500418,0.014109948
nan,76.06136145,0.058278254,12.84111196,0.461339312,0.004603646,0.041522233,0.932330534,3.127664344,5.391346569,0.005390937
nan,76.56010307,0.056875157,12.79158272,0.463559831,0.006079217,0.058935592,0.955496952,3.058043973,5.339196272,0.005146901
nan,75.48184788,0.035120615,12.82776201,0.369008322,0.004428855,0.05122199,0.913692176,3.187561283,5.426677666,0.009788267
nan,76.12192517,0.059618274,13.06994236,0.490972619,0.005208076,0.053700674,0.990377013,3.106327278,5.309857352,0.005797144
nan,76.13737331,0.055447824,13.14256219,0.387581652,0.003572339,0.048154737,0.982403169,3.148466493,5.395645247,0.0069137
nan,75.675185,0.061156821,12.90321422,0.443329251,0.005564383,0.05967966,0.909527495,3.084060356,5.442141283,0.012542034
nan,76.61375377,0.072107431,12.94684642,0.471786193,0.00418695,0.042778597,0.922191501,3.160587213,5.4264886,0.004631069
nan,76.48645109,0.069948366,13.12953009,0.400301311,0.003090549,0.058357316,1.081216799,3.113154276,5.38485384,0.012171055
nan,76.36573763,0.060718754,13.24189072,0.43256994,0.00774157,0.047971857,0.904544097,3.114298835,5.378343703,0.003611937
nan,76.35765702,0.034768286,13.03486844,0.44381527,0.004640735,0.05635819,0.903393912,3.026053557,5.42972579,0.005595541
nan,76.78755074,0.060550836,13.2040104,0.488176428,0.003015908,0.048793178,0.956105519,3.124952552,5.470153133,-0.001110614
nan,75.95457482,0.053859071,13.14925113,0.431428441,0.006021792,0.062750254,0.890144252,3.006078225,5.384711776,0.007299367
nan,76.22920554,0.054027979,12.87443891,0.381071378,0.005560499,0.027481759,1.029417375,3.059558483,5.445491192,0.00407409
nan,76.22000105,0.056126054,13.05166565,0.447878969,0.004275027,0.025044095,0.979926832,3.205372223,5.357458659,0.00748953
nan,76.15926212,0.071161017,13.14409559,0.483170829,0.003197139,0.024099575,0.92929318,2.966559747,5.483221195,0.004583002
nan,76.14204922,0.059696225,12.8974239,0.457934606,0.003561181,0.053659922,0.977228639,3.116372254,5.437454298,0.00359799
nan,76.54808749,0.063944417,13.15191374,0.38700916,0.004953062,0.023278036,1.000901621,2.976111636,5.396582539,0.004657901
nan,75.96316664,0.056852632,13.02359797,0.429591229,0.002294658,0.056634013,0.989831333,3.09077589,5.498602366,0.007903839
nan,76.52823645,0.050712423,13.2121742,0.507428447,0.00630034,0.043398032,0.993621369,3.02065781,5.469910036,0.010845062
nan,76.1607643,0.050804109,13.02245419,0.459314849,0.001348229,0.053792242,1.076184247,3.25517268,5.412019107,-0.000387805
nan,76.10775747,0.029043695,13.32663983,0.42833488,0.005501,0.053308106,0.883549006,3.072143654,5.52229054,0.008414112
nan,75.85022754,0.051072277,13.20788374,0.474063557,0.008138243,0.016438782,0.964544208,3.066060677,5.393005366,0.005727618
nan,76.12892792,0.067455618,13.00233642,0.393349575,0.007790663,0.079966005,1.013727278,3.148809845,5.447070697,0.014953165
nan,76.51163085,0.05347304,12.9824246,0.498231356,0.00382261,0.03223409,0.981877637,3.109196894,5.422436664,0.018090754
nan,75.71044225,0.050895134,12.96076999,0.481284925,0.004877583,0.053252474,1.018139359,2.967781922,5.5271465,0.00606425
nan,76.53079612,0.066452269,13.06156094,0.478164097,0.006101657,0.054228269,0.978328,3.083919773,5.486481726,0.007074676
nan,76.48310804,0.03898853,13.10459364,0.460162714,0.003424368,0.045803074,0.986540316,3.254502674,5.4620377,0.005468927
