pressure_mpa,temperature_range_c,mode,outcome,liquidus_temp_c,elapsed_s,exception_type,exception_message,traceback_text
50.0,1200->700,liam_find_wet_liquidus_direct,success,949.0,1.562201738357544,,,
75.0,1200->700,liam_find_wet_liquidus_direct,success,888.0,0.3245551586151123,,,
100.0,1200->700,liam_find_wet_liquidus_direct,success,888.0,0.3364830017089844,,,
