solid_phase_names,has_quartz,has_feldspar,has_feldspar_1,temperature_C,step_index,pressure_MPa,calc_time_s
,False,False,False,807.0,380,125.0,
Feldspar,False,True,False,806.0,381,125.0,
Feldspar,False,True,False,805.0,382,125.0,
Feldspar,False,True,False,804.0,383,125.0,
Feldspar,False,True,False,803.0,384,125.0,
Feldspar,False,True,False,802.0,385,125.0,
Feldspar,False,True,False,801.0,386,125.0,
Feldspar,False,True,False,800.0,387,125.0,
Feldspar,False,True,False,799.0,388,125.0,
Feldspar,False,True,False,798.0,389,125.0,
Feldspar,False,True,False,797.0,390,125.0,
Feldspar,False,True,False,796.0,391,125.0,
Feldspar,False,True,False,795.0,392,125.0,
Feldspar,False,True,False,794.0,393,125.0,
Feldspar,False,True,False,793.0,394,125.0,
Feldspar,False,True,False,792.0,395,125.0,
Feldspar,False,True,False,791.0,396,125.0,
Feldspar,False,True,False,790.0,397,125.0,
Feldspar,False,True,False,789.0,398,125.0,
Feldspar,False,True,False,788.0,399,125.0,
Feldspar,False,True,False,787.0,400,125.0,
Feldspar,False,True,False,786.0,401,125.0,
Feldspar,False,True,False,785.0,402,125.0,
Feldspar,False,True,False,784.0,403,125.0,
"Feldspar,Quartz",True,True,False,783.0,404,125.0,
"Feldspar,Quartz",True,True,False,782.0,405,125.0,
"Feldspar,Quartz",True,True,False,781.0,406,125.0,
"Feldspar,Quartz",True,True,False,780.0,407,125.0,
"Feldspar,Quartz",True,True,False,779.0,408,125.0,
"Feldspar,Quartz",True,True,False,778.0,409,125.0,
"Feldspar,Quartz",True,True,False,777.0,410,125.0,
"Feldspar,Quartz",True,True,False,776.0,411,125.0,
"Feldspar,Quartz",True,True,False,775.0,412,125.0,
"Feldspar,Quartz",True,True,False,774.0,413,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,773.0,414,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,772.0,415,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,771.0,416,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,770.0,417,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,769.0,418,125.0,
"Feldspar,Feldspar_1,Quartz",True,True,True,768.0,419,125.0,
